200,English,Русский,French,Danish,Indonesian,Korean,Swedish,Tuskish,Ukranian,Vietnamese,Hungarian,German,Finnish,Czech,Italian,Norwegian,Chinese Trad,Chinese Simplified,Thai,Japanese,Romanian ,Arabic,Slovak,Spanish,Polish,Dutch,Portugese,hebrew
Japan_Chubu Region_Yamanashi,Yamanashi Prefecture,Яманаси,préfecture de Yamanashi,Yamanashi-præfekturet,Prefektur Yamanashi,야마나시 현,Yamanashi prefektur,Yamanashi Vilayeti,Префектура Яманаші,Yamanashi,Jamanasi prefektúra,Präfektur Yamanashi,Yamanashin prefektuuri,Prefektura Jamanaši,prefettura di Yamanashi,Yamanashi,山梨縣,山梨县,จังหวัดยะมะนะชิ,山梨県,Prefectura Yamanashi,ياماناشي,Jamanaši,Prefectura de Yamanashi,Prefektura Yamanashi,Yamanashi,Yamanashi,יאמאנאשי
Japan_Chugoku Region,Chūgoku Region,Тюгоку,Région de Chūgoku,Chugoku-regionen,Chugoku,주고쿠 지방,Chugoku,Chūgoku,Регіон Тюґоку,Chūgoku,Csúgoku,Chūgoku,Chūgoku,Čúgoku,Chūgoku,Chūgokuregionen,中國地方,中国地方,ชูโงะกุ,中国地方,Regiunea Chūgoku,منطقة تشوغوكو,Čúgoku,Región de Chūgoku,Region Chūgoku,Chugoku,Região de Chugoku,צ'וגוקו
Japan_Chugoku Region_Hiroshima,Hiroshima Prefecture,Хиросима,préfecture de Hiroshima,Hiroshima-præfekturet,Prefektur Hiroshima,히로시마 현,Hiroshima prefektur,Hiroshima Vilayeti,Префектура Хіросіма,Hiroshima,Hirosima prefektúra,Präfektur Hiroshima,Hiroshiman prefektuuri,Prefektura Hirošima,prefettura di Hiroshima,Hiroshima,廣島縣,广岛县,จังหวัดฮิโระชิมะ,広島県,Prefectura Hiroshima,هيروشيما,Hirošima,Prefectura de Hiroshima,Prefektura Hiroszima,Hiroshima,Província de Hiroshima,הירושימה
Japan_Chugoku Region_Okayama,Okayama Prefecture,Окаяма,préfecture d'Okayama,Okayama-præfekturet,Prefektur Okayama,오카야마 현,Okayama prefektur,Okayama Vilayeti,Префектура Окаяма,Okayama,Okajama prefektúra,Präfektur Okayama,Okayaman prefektuuri,Prefektura Okajama,prefettura di Okayama,Okayama,岡山縣,冈山县,จังหวัดโอะกะยะมะ,岡山県,Prefectura Okayama,أوكاياما,Okajama,Prefectura de Okayama,Prefektura Okayama,Okayama,Okayama,אוקיאמה
Japan_Chugoku Region_Shimane,Shimane Prefecture,Симане,préfecture de Shimane,Shimane-præfekturet,Prefektur Shimane,시마네 현,Shimane prefektur,Shimane Vilayeti,Префектура Шімане,Shimane,Simane prefektúra,Präfektur Shimane,Shimanen prefektuuri,Prefektura Šimane,prefettura di Shimane,Shimane,島根縣,岛根县,จังหวัดชิมะเนะ,島根県,Prefectura Shimane,شيمانه,Šimane,Prefectura de Shimane,Prefektura Shimane,Shimane,Shimane,שימאנה
Japan_Chugoku Region_Tottori,Tottori Prefecture,Тоттори,préfecture de Tottori,Tottori-præfekturet,Prefektur Tottori,돗토리 현,Tottori prefektur,Tottori Vilayeti,Префектура Тотторі,Tottori,Tottori prefektúra,Präfektur Tottori,Tottorin prefektuuri,Prefektura Tottori,prefettura di Tottori,Tottori,鳥取縣,鸟取县,จังหวัดทตโตะริ,鳥取県,Prefectura Tottori,توتوري,Tottori,Prefectura de Tottori,Prefektura Tottori,Tottori,Tottori,טוטורי
Japan_Chugoku Region_Yamaguchi,Yamaguchi Prefecture,Ямагути,préfecture de Yamaguchi,Yamaguchi-præfekturet,Prefektur Yamaguchi,야마구치 현,Yamaguchi prefektur,Yamaguchi Vilayeti,Префектура Ямаґучі,Yamaguchi,Jamagucsi prefektúra,Präfektur Yamaguchi,Yamaguchin prefektuuri,Prefektura Jamaguči,prefettura di Yamaguchi,Yamaguchi,山口縣,山口县,จังหวัดยะมะงุชิ,山口県,Prefectura Yamaguchi,ياماغوتشي,Jamaguči,Prefectura de Yamaguchi,Prefektura Yamaguchi,Yamaguchi,Yamaguchi,יאמגוצ'י
Japan_Hokkaido Region,Hokkaidō,Хоккайдо,Hokkaidō,Hokkaido,Hokkaidō,홋카이도,Hokkaido,Hokkaidō,Хоккайдо,Hokkaidō,Hokkaidó,Hokkaidō,Hokkaidō,Hokkaidó,prefettura di Hokkaidō,Hokkaido,北海道,北海道,จังหวัดฮกไกโด,北海道,Insula Hokkaidō,هوكايدو,Hokkaido,Hokkaidō,Hokkaido,Hokkaido,Hokkaido,הוקאידו
Japan_Hokkaido Region_East,Hokkaidō — East,Хоккайдо — Восток,Hokkaidō — Est,Hokkaido — Øst,Hokkaidō — Timur,홋카이도 — 동,Hokkaido — Öst,Hokkaidō — Doğu,Хоккайдо — Схід,Hokkaidō — Đông,Hokkaidó — Kelet,Hokkaidō — Osten,Hokkaidō — Itä,Hokkaidó — Východ,prefettura di Hokkaidō — Est,Hokkaido — Øst,北部海道 - 東部,北部海道 - 东部,จังหวัดฮกไกโด — ตะวันออก,北海道・東武,Insula Hokkaidō — Est,هوكايدو — شرق,Hokkaido — Východ,Hokkaidō — Este,Hokkaido — Wschód,Hokkaido — Oost,Hokkaido — Leste,הוקאידו — מִזְרָח
Japan_Hokkaido Region_North,Hokkaidō — North,Хоккайдо — Север,Hokkaidō — Nord,Hokkaido — Nord,Hokkaidō — Utara,홋카이도 — 북,Hokkaido — Nord,Hokkaidō — Kuzey,Хоккайдо — Північ,Hokkaidō — Bắc,Hokkaidó — Észak,Hokkaidō — Norden,Hokkaidō — Pohjoinen,Hokkaidó — Sever,prefettura di Hokkaidō — Nord,Hokkaido — Nord,北部海道 - 北部,北部海道 - 北部,จังหวัดฮกไกโด — เหนือ,北海道・北部,Insula Hokkaidō — Nord,هوكايدو — شمال,Hokkaido — Sever,Hokkaidō — Norte,Hokkaido — Północ,Hokkaido — Noord,Hokkaido — Norte,הוקאידו — צָפוֹן
Japan_Hokkaido Region_West,Hokkaidō — West,Хоккайдо — Запад,Hokkaidō — Ouest,Hokkaido — Vest,Hokkaidō — Barat,홋카이도 — 서,Hokkaido — Väst,Hokkaidō — Batı,Хоккайдо — Захід,Hokkaidō — Tây,Hokkaidó — Nyugat,Hokkaidō — Westen,Hokkaidō — Länsi,Hokkaidó — Západ,prefettura di Hokkaidō — Ovest,Hokkaido — Vest,北部海道 - 西部,北部海道 - 西部,จังหวัดฮกไกโด — ตะวันตก,北海道・西部,Insula Hokkaidō — Vest,هوكايدو — غرب,Hokkaido — Západ,Hokkaidō — Oeste,Hokkaido — Zachód,Hokkaido — West,Hokkaido — Oeste,הוקאידו — מַעֲרָב
Japan_Kanto,Kantō Region,Канто,Région de Kantō,Kanto-regionen,Wilayah Kantō,간토 지방,Kanto,Kantō,Регіон Канто,Kantō,Kantó,Kantō,Kantō,Kantó,Kantō,Kantōregionen,關東地方,关东地方,คันโต,関東地方,Regiunea Kantō,منطقة كانتو,Kantó,Región de Kantō,Region Kantō,Kanto,Região de Kanto,קאנטו
Japan_Kanto_Chiba,Chiba Prefecture,Тиба,préfecture de Chiba,Chiba-præfekturet,Prefektur Chiba,지바 현,Chiba prefektur,Chiba ili,Префектура Чіба,Chiba,Csiba prefektúra,Präfektur Chiba,Chiban prefektuuri,Prefektura Čiba,prefettura di Chiba,Chiba,千葉縣,千叶县,จังหวัดชิบะ,千葉県,Prefectura Chiba,تشيبا,Čiba,Chiba,Prefektura Chiba,Chiba,Chiba,צ'יבה
Japan_Kanto_Gunma,Gunma Prefecture,Гумма,préfecture de Gunma,Gunma-præfekturet,Prefektur Gunma,군마 현,Gunma prefektur,Gunma Vilayeti,Префектура Ґумма,Gunma,Gunma prefektúra,Präfektur Gunma,Gunman prefektuuri,Prefektura Gunma,prefettura di Gunma,Gunma,群馬縣,群马县,จังหวัดกุมมะ,群馬県,Prefectura Gunma,غونما,Gunma,Prefectura de Gunma,Prefektura Gunma,Gunma,Gunma,גונמה
Japan_Kanto_Ibaraki,Ibaraki Prefecture,Ибараки,préfecture d'Ibaraki,Ibaraki-præfekturet,Prefektur Ibaraki,이바라키 현,Ibaraki prefektur,Ibaraki,Префектура Ібаракі,Ibaraki,Ibaraki prefektúra,Präfektur Ibaraki,Ibarakin prefektuuri,Prefektura Ibaraki,prefettura di Ibaraki,Ibaraki,茨城縣,茨城县,จังหวัดอิบะระกิ,茨城県,Prefectura Ibaraki,إيباراكي,Ibaraki,Prefectura de Ibaraki,Prefektura Ibaraki,Ibaraki,Ibaraki,איבראקי
Japan_Kanto_Kanagawa,Kanagawa Prefecture,Канагава,préfecture de Kanagawa,Kanagawa-præfekturet,Prefektur Kanagawa,가나가와 현,Kanagawa prefektur,Kanagawa ili,Префектура Канаґава,Kanagawa,Kanagava prefektúra,Präfektur Kanagawa,Kanagawan prefektuuri,Prefektura Kanagawa,prefettura di Kanagawa,Kanagawa,神奈川縣,神奈川县,จังหวัดคะนะงะวะ,神奈川県,Prefectura Kanagawa,كاناغاوا,Kanagawa,Prefectura de Kanagawa,Prefektura Kanagawa,Kanagawa,Kanagawa,קנאגווה
Japan_Kanto_Saitama,Saitama Prefecture,Сайтама,préfecture de Saitama,Saitama-præfekturet,Prefektur Saitama,사이타마 현,Saitama prefektur,Saitama ili,Префектура Сайтама,Saitama,Szaitama prefektúra,Präfektur Saitama,Saitaman prefektuuri,Prefektura Saitama,prefettura di Saitama,Saitama,埼玉縣,埼玉县,จังหวัดไซตะมะ,埼玉県,Prefectura Saitama,سايتاما,Saitama,Prefectura de Saitama,Prefektura Saitama,Saitama,Saitama,סאיטאמה
Japan_Kanto_Tochigi,Tochigi Prefecture,Тотиги,préfecture de Tochigi,Tochigi-præfekturet,Prefektur Tochigi,도치기 현,Tochigi prefektur,Tochigi Vilayeti,Префектура Точіґі,Tochigi,Tocsigi prefektúra,Präfektur Tochigi,Tochigin prefektuuri,Prefektura Točigi,prefettura di Tochigi,Tochigi,栃木縣,栃木县,จังหวัดโทะชิงิ,栃木県,Prefectura Tochigi,توتشيغي,Točigi,Prefectura de Tochigi,Prefektura Tochigi,Tochigi,Tochigi,טוצ'יגי
Japan_Kanto_Tokyo,Tokyo Prefecture,Токио,préfecture de Tokyo,Tokyo,Tokyo,도쿄 도,Tokyo prefektur,Tokyo,Токіо,Tokyo,Tokió,Präfektur Tokio,Tokio,Prefektura Tokio,Tokyo,Tokyo,東京都,东京都,โตเกียว,東京都,Tokio,طوكيو,Tokio,Tokio,Tokio,Tokio,Tóquio,טוקיו
Japan_Kinki Region,Kansai region,Кансай,région du Kansai,Kansai-regionen,Kansai,긴키 지방,Kansai,Kansai,Регіон Кінкі,Kinki,Kanszai,Kinki,Kansai,Kansai,Kansai,Kansairegionen,近畿地方,近畿地方,คันไซ,近畿地方,Regiunea Kansai,منطقة كانساي,Kansai,Región de Kinki,Kansai,Kansai,Região de Kansai,קנסאי
Japan_Kinki Region_Mie,Mie Prefecture,Миэ,préfecture de Mie,Mie-præfekturet,Prefektur Mie,미에 현,Mie prefektur,Mie ili,Префектура Міє,Mie,Mie prefektúra,Präfektur Mie,Mien prefektuuri,Prefektura Mie,prefettura di Mie,Mie,三重縣,三重县,จังหวัดมิเอะ,三重県,Prefectura Mie,ميه,Mie,Prefectura de Mie,Prefektura Mie,Mie,Mie,מיאה
Japan_Kinki Region_Nara,Nara Prefecture,Нара,préfecture de Nara,Nara-præfekturet,Prefektur Nara,나라 현,Nara prefektur,Nara Vilayeti,Префектура Нара,Nara,Nara prefektúra,Präfektur Nara,Naran prefektuuri,Prefektura Nara,prefettura di Nara,Nara,奈良縣,奈良县,จังหวัดนะระ,奈良県,Prefectura Nara,نارا,Nara,Prefectura de Nara,Prefektura Nara,Nara,Nara,נארה
Japan_Kinki Region_Osaka,Ōsaka Prefecture,Осака,préfecture d'Osaka,Osaka-præfekturet,Prefektur Osaka,오사카 부,Osaka prefektur,Osaka ili,Префектура Осака,Ōsaka,Oszaka prefektúra,Präfektur Ōsaka,Osakan prefektuuri,Prefektura Ósaka,prefettura di Osaka,Osaka,大阪府,大阪府,จังหวัดโอซะกะ,大阪府,Prefectura Osaka,أوساكا,Osaka,Prefectura de Osaka,Prefektura Osaka,Osaka,Osaka,אוסקה
Japan_Kinki Region_Wakayama,Wakayama Prefecture,Вакаяма,préfecture de Wakayama,Wakayama-præfekturet,Prefektur Wakayama,와카야마 현,Wakayama prefektur,Wakayama Vilayeti,Префектура Вакаяма,Wakayama,Vakajama prefektúra,Präfektur Wakayama,Wakayaman prefektuuri,Prefektura Wakajama,prefettura di Wakayama,Wakayama,和歌山縣,和歌山县,จังหวัดวะกะยะมะ,和歌山県,Prefectura Wakayama,واكاياما,Wakajama,Prefectura de Wakayama,Prefektura Wakayama,Wakayama,Wakayama,וקאיאמה
Japan_Kyushu Region,Kyushu,Кюсю,Kyūshū,Kyushu,Kyushu,규슈,Kyushu,Kyūshū,Кюсю,Kyushu,Kjúsú,Kyūshū,Kyūshū,Kjúšú,Kyūshū,Kyushu,九州,九州,เกาะคีวชู,九州,Kyūshū,كيوشو,Kjúšu,Kyūshū,Kiusiu,Kyushu,Kyushu,קיושו
Japan_Kyushu Region_Fukuoka,Fukuoka Prefecture,Фукуока,préfecture de Fukuoka,Fukuoka-præfekturet,Prefektur Fukuoka,후쿠오카 현,Fukuoka prefektur,Fukuoka Vilayeti,Префектура Фукуока,Fukuoka,Fukuoka prefektúra,Präfektur Fukuoka,Fukuokan prefektuuri,Prefektura Fukuoka,prefettura di Fukuoka,Fukuoka,福岡縣,福冈县,จังหวัดฟุกุโอะกะ,福岡県,Prefectura Fukuoka,فوكوكا,Fukuoka,Prefectura de Fukuoka,Prefektura Fukuoka,Fukuoka,Fukuoka,פוקואוקה
Japan_Kyushu Region_Kagoshima,Kagoshima Prefecture,Кагосима,préfecture de Kagoshima,Kagoshima-præfekturet,Prefektur Kagoshima,가고시마 현,Kagoshima prefektur,Kagoşima ili,Префектура Каґошіма,Kagoshima,Kagosima prefektúra,Präfektur Kagoshima,Kagoshiman prefektuuri,Prefektura Kagošima,prefettura di Kagoshima,Kagoshima,鹿兒島縣,鹿儿岛县,จังหวัดคะโงะชิมะ,鹿児島県,Prefectura Kagoshima,كاغوشيما,Kagošima,Kagoshima,Prefektura Kagoshima,Kagoshima,Kagoshima,קגושימה
Japan_Kyushu Region_Kumamoto,Kumamoto Prefecture,Кумамото,préfecture de Kumamoto,Kumamoto-præfekturet,Prefektur Kumamoto,구마모토 현,Kumamoto prefektur,Kumamoto Vilayeti,Префектура Кумамото,Kumamoto,Kumamoto prefektúra,Präfektur Kumamoto,Kumamoton prefektuuri,Prefektura Kumamoto,prefettura di Kumamoto,Kumamoto,熊本縣,熊本县,จังหวัดคุมะโมะโตะ,熊本県,Prefectura Kumamoto,كوماموتو,Kumamoto,Prefectura de Kumamoto,Prefektura Kumamoto,Kumamoto,Kumamoto,קוממוטו
Japan_Kyushu Region_Miyazaki,Miyazaki Prefecture,Миядзаки,préfecture de Miyazaki,Miyazaki-præfekturet,Prefektur Miyazaki,미야자키 현,Miyazaki prefektur,Miyazaki Vilayeti,Префектура Міядзакі,Miyazaki,Mijazaki prefektúra,Präfektur Miyazaki,Miyazakin prefektuuri,Prefektura Mijazaki,prefettura di Miyazaki,Miyazaki,宮崎縣,宫崎县,จังหวัดมิยะซะกิ,宮崎県,Prefectura Miyazaki,ميازاكي,Mijazaki,Prefectura de Miyazaki,Prefektura Miyazaki,Miyazaki,Miyazaki,מיאזקי
Japan_Kyushu Region_Nagasaki,Nagasaki Prefecture,Нагасаки,préfecture de Nagasaki,Nagasaki-præfekturet,Prefektur Nagasaki,나가사키 현,Nagasaki prefektur,Nagasaki Vilayeti,Префектура Наґасакі,Nagasaki,Nagaszaki prefektúra,Präfektur Nagasaki,Nagasakin prefektuuri,Prefektura Nagasaki,prefettura di Nagasaki,Nagasaki,長崎縣,长崎县,จังหวัดนะงะซะกิ,長崎県,Prefectura Nagasaki,ناغاساكي,Nagasaki,Prefectura de Nagasaki,Prefektura Nagasaki,Nagasaki,Nagasaki,נגסאקי
Japan_Kyushu Region_Oita,Ōita Prefecture,Оита,préfecture d'Ōita,Ooita-præfekturet,Prefektur Oita,오이타 현,Oita prefektur,Ōita Vilayeti,Префектура Ойта,Ōita,Óita prefektúra,Präfektur Ōita,Ōitan prefektuuri,Prefektura Óita,prefettura di Ōita,Ōita,大分縣,大分县,จังหวัดโออิตะ,大分県,Prefectura Ōita,أويتا,Óita,Prefectura de Ōita,Prefektura Ōita,Oita,Oita,אויטה
Japan_Kyushu Region_Okinawa,Okinawa Prefecture,Окинава,préfecture d'Okinawa,Okinawa-præfekturet,Prefektur Okinawa,오키나와 현,Okinawa prefektur,Okinawa,Префектура Окінава,Okinawa,Okinava prefektúra,Präfektur Okinawa,Okinawan prefektuuri,Prefektura Okinawa,prefettura di Okinawa,Okinawa,沖繩縣,冲绳县,จังหวัดโอะกินะวะ,沖縄県,Prefectura Okinawa,أوكيناوا,Okinawa,Prefectura de Okinawa,Prefektura Okinawa,Okinawa,Okinawa,אוקינאווה
Japan_Kyushu Region_Saga,Saga Prefecture,Сага,préfecture de Saga,Saga-præfekturet,Prefektur Saga,사가 현,Saga prefektur,Saga Vilayeti,Префектура Саґа,Saga,Saga Prefektúra,Präfektur Saga,Sagan prefektuuri,Prefektura Saga,Prefettura di Saga,Saga,佐賀縣,佐贺县,จังหวัดซะงะ,佐賀県,Prefectura Saga,ساغا,Saga,Prefectura de Saga,Prefektura Saga,Saga,Saga,סאגה
Japan_Shikoku Region,Shikoku,Сикоку,Shikoku,Shikoku,Shikoku,시코쿠,Shikoku,Shikoku,Шікоку,Shikoku,Sikoku,Shikoku,Shikoku,Šikoku,Shikoku,Shikoku,四國,四国,เกาะชิโกะกุ,四国,Shikoku,شيكوكو,Šikoku,Shikoku,Sikoku,Shikoku,Shikoku,שיקוקו
Japan_Shikoku Region_Ehime,Ehime Prefecture,Эхиме,préfecture d'Ehime,Ehime-præfekturet,Prefektur Ehime,에히메 현,Ehime prefektur,Ehime Vilayeti,Префектура Ехіме,Ehime,Ehime prefektúra,Präfektur Ehime,Ehimen prefektuuri,Prefektura Ehime,prefettura di Ehime,Ehime,愛媛縣,爱媛县,จังหวัดเอะฮิเมะ,愛媛県,Prefectura Ehime,إهيمه,Ehime,Prefectura de Ehime,Prefektura Ehime,Ehime,Ehime,אהימה
Japan_Shikoku Region_Kagawa,Kagawa Prefecture,Кагава (префектура),Préfecture de Kagawa,Kagawa-præfekturet,Prefektur Kagawa,가가와 현,Kagawa prefektur,Kagawa Vilayeti,Префектура Каґава,Kagawa,Kagava prefektúra,Präfektur Kagawa,Kagawan prefektuuri,Prefektura Kagawa,prefettura di Kagawa,Kagawa,香川縣,香川县,จังหวัดคะงะวะ,香川県,Prefectura Kagawa,كاغاوا,Kagawa,Prefectura de Kagawa,Prefektura Kagawa,Kagawa,Kagawa,קאגווה
Japan_Shikoku Region_Kochi,Kōchi Prefecture,Коти,préfecture de Kōchi,Kouchi-præfekturet,Prefektur Kochi,고치 현,Kochi prefektur,Kōchi Vilayeti,Префектура Кочі,Kōchi,Kócsi prefektúra,Präfektur Kōchi,Kōchin prefektuuri,Prefektura Kóči,prefettura di Kōchi,Kōchi,高知縣,高知县,จังหวัดโคชิ,高知県,Prefectura Kōchi,كوتشي,Kóči,Prefectura de Kōchi,Prefektura Kōchi,Kochi,Kochi,קוצ'י
Japan_Shikoku Region_Kyoto,Kyōto Prefecture,Киото,préfecture de Kyoto,Kyoto-præfekturet,Prefektur Kyoto,교토 부,Kyoto prefektur,Kyōto Vilayeti,Префектура Кіото,Kyōto,Kiotó prefektúra,Präfektur Kyōto,Kioton prefektuuri,Prefektura Kjóto,prefettura di Kyoto,Kyoto,京都府,京都府,จังหวัดเคียวโตะ,京都府,Prefectura Kyoto,كيوتو,Kjóto,Prefectura de Kioto,Prefektura Kioto,Kioto,Quioto,קיוטו
Japan_Shikoku Region_Tokushima,Tokushima Prefecture,Токусима,préfecture de Tokushima,Tokushima-præfekturet,Prefektur Tokushima,도쿠시마 현,Tokushima prefektur,Tokushima Vilayeti,Префектура Токушіма,Tokushima,Tokusima prefektúra,Präfektur Tokushima,Tokushiman prefektuuri,Prefektura Tokušima,prefettura di Tokushima,Tokushima,德島縣,德岛县,จังหวัดโทะกุชิมะ,徳島県,Prefectura Tokushima,توكوشيما,Tokušima (prefektúra),Prefectura de Tokushima,Prefektura Tokushima,Tokushima,Tokushima,טוקושימה
Japan_Tohoku,Tōhoku Region,Тохоку,Région de Tōhoku,Tohoku-regionen,Wilayah Tōhoku,도호쿠 지방,Tohoku,Tōhoku,Регіон Тохоку,Tōhoku,Tóhoku,Tōhoku,Tōhoku,Tóhoku,Regione di Tōhoku,Tōhokuregionen,東北地方,东北地方,โทโฮะกุ,東北地方,Regiunea Tōhoku,منطقة توهوكو,Tóhoku,Región de Tōhoku,Region Tōhoku,Tohoku,Região de Tohoku,טוהוקו
Japan_Tohoku_Akita,Akita Prefecture,Акита,préfecture d'Akita,Akita-præfekturet,Prefektur Akita,아키타 현,Akita prefektur,Akita,Префектура Акіта,Akita,Akita prefektúra,Präfektur Akita,Akitan prefektuuri,Prefektura Akita,prefettura di Akita,Akita,秋田縣,秋田县,จังหวัดอะกิตะ,秋田県,Prefectura Akita,أكيتا,Akita,Akita,Prefektura Akita,Akita,Akita,אקיטה
Japan_Tohoku_Aomori,Aomori Prefecture,Аомори,préfecture d'Aomori,Aomori-præfekturet,Prefektur Aomori,아오모리 현,Aomori prefektur,Aomori Vilayeti,Префектура Аоморі,Aomori,Aomori prefektúra,Präfektur Aomori,Aomorin prefektuuri,Prefektura Aomori,prefettura di Aomori,Aomori,青森縣,青森县,จังหวัดอะโอะโมะริ,青森県,Prefectura Aomori,آوموري,Aomori,Prefectura de Aomori,Prefektura Aomori,Aomori,Aomori,אאומורי
Japan_Tohoku_Fukushima,Fukushima Prefecture,Фукусима,préfecture de Fukushima,Fukushima-præfekturet,Prefektur Fukushima,후쿠시마 현,Fukushima-prefekturen,Fukushima Vilayeti,Префектура Фукушіма,Fukushima,Fukusima prefektúra,Präfektur Fukushima,Fukushiman prefektuuri,Prefektura Fukušima,prefettura di Fukushima,Fukushima,福島縣,福岛县,จังหวัดฟุกุชิมะ,福島県,Prefectura Fukushima,فوكوشيما,Fukušima,Prefectura de Fukushima,Prefektura Fukushima,Fukushima,Fukushima,פוקושימה
Japan_Tohoku_Iwate,Iwate Prefecture,Иватэ,préfecture d'Iwate,Iwate-præfekturet,Prefektur Iwate,이와테 현,Iwate,Iwate,Префектура Івате,Iwate,Ivate prefektúra,Präfektur Iwate,Iwaten prefektuuri,Prefektura Iwate,prefettura di Iwate,Iwate,岩手縣,岩手县,จังหวัดอิวะเตะ,岩手県,Prefectura Iwate,إيواته,Iwate,Prefectura de Iwate,Prefektura Iwate,Iwate,Iwate,איווטה
Japan_Tohoku_Miyagi,Miyagi Prefecture,Мияги,préfecture de Miyagi,Miyagi-præfekturet,Prefektur Miyagi,미야기 현,Miyagi prefektur,Miyagi Vilayeti,Префектура Міяґі,Miyagi,Mijagi prefektúra,Präfektur Miyagi,Miyagin prefektuuri,Prefektura Mijagi,prefettura di Miyagi,Miyagi,宮城縣,宫城县,จังหวัดมิยะงิ,宮城県,Prefectura Miyagi,مياغي,Mijagi,Miyagi,Prefektura Miyagi,Miyagi,Miyagi,מיאגי
Japan_Tohoku_Yamagata,Yamagata Prefecture,Ямагата,préfecture de Yamagata,Yamagata-præfekturet,Prefektur Yamagata,야마가타 현,Yamagata prefektur,Yamagata Vilayeti,Префектура Ямаґата,Yamagata,Jamagata prefektúra,Präfektur Yamagata,Yamagatan prefektuuri,Prefektura Jamagata,prefettura di Yamagata,Yamagata,山形縣,山形县,จังหวัดยะมะงะตะ,山形県,Prefectura Yamagata,ياماغاتا,Jamagata,Prefectura de Yamagata,Prefektura Yamagata,Yamagata,Yamagata,יאמאגטה
Jersey,Jersey,Джерси,Jersey,Jersey,Jersey,저지 섬,Jersey,Jersey,Джерсі,Jersey,Jersey,Jersey,Jersey,Jersey,Baliato di Jersey,Jersey,澤西島,泽西岛,เจอร์ซีย์,ジャージー,Insula Jersey,جيرزي,Jersey,Jersey,Jersey,Jersey,Jersey,ג'רזי
Jerusalem,Jerusalem,Иерусалим,Jérusalem,Jerusalem,Yerusalem,예루살렘,Jerusalem,Kudüs,Єрусалим,Jerusalem,Jeruzsálem,Jerusalem,Jerusalem,Jeruzalém,Gerusalemme,Jerusalem,耶路撒冷,耶路撒冷,เยรูซาเลม,エルサレム,Ierusalim,القدس,Jeruzalem,Jerusalén,Jerozolima,Jeruzalem,Jerusalém,ירושלים
Jordan,Jordan,Иордания,Jordanie,Jordan,Yordania,요르단,Jordanien,Ürdün,Йорданія,Jordan,Jordánia,Jordanien,Jordania,Jordánsko,Giordania,Jordan,約旦,约旦,ประเทศจอร์แดน,ヨルダン,Iordania,الأردن,Jordánsko,Jordania,Jordania,Jordanië,Jordânia,ירדן
Kansas,Kansas,Канзас,Kansas,Kansas,Kansas,캔자스 주,Kansas,Kansas,Канзас,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,Kansas,堪薩斯州,堪萨斯州,รัฐแคนซัส,カンザス州,Kansas,كانساس,Kansas,Kansas,Kansas,Kansas,Kansas,קנזס
Kazakhstan,Kazakhstan,Казахстан,Kazakhstan,Kasakhstan,Kazakhstan,카자흐스탄,Kazakstan,Kazakistan,Казахстан,Kazakhstan,Kazahsztán,Kasachstan,Kazakstan,Kazachstán,Kazakistan,Kasakhstan,哈薩克斯坦,哈萨克斯坦,ประเทศคาซัคสถาน,カザフスタン,Kazahstan,كازاخستان,Kazachstan,Kazajistán,Kazachstan,Kazachstan,Cazaquistão,קזחסטן
Kentucky,Kentucky,Кентукки,Kentucky,Kentucky,Kentucky,켄터키 주,Kentucky,Kentucky,Кентуккі,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,肯塔基州,肯塔基州,รัฐเคนทักกี,ケンタッキー州,Kentucky,كنتاكي,Kentucky,Kentucky,Kentucky,Kentucky,Kentucky,קנטקי
Kenya,Kenya,Кения,Kenya,Kenya,Kenya,케냐,Kenya,Kenya,Кенія,Kenya,Kenya,Kenia,Kenia,Keňa,Kenya,Kenya,肯尼亞,肯尼亚,ประเทศเคนยา,ケニア,Kenya,كينيا,Keňa,Kenia,Kenia,Kenia,Quénia,קניה
Kingdom of Lesotho,Lesotho,Лесото,Lesotho,Lesotho,Lesotho,레소토,Lesotho,Lesotho,Лесото,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,Lesotho,萊索托,莱索托,ประเทศเลโซโท,レソト,Lesotho,ليسوتو,Lesotho,Lesoto,Lesotho,Lesotho,Lesoto,לסוטו
Kiribati,Kiribati,Кирибати,Kiribati,Kiribati,Kiribati,키리바시,Kiribati,Kiribati,Кірибаті,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,吉里巴斯,吉里巴斯,ประเทศคิริบาส,キリバス,Kiribati,كيريباتي,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,קיריבטי
Kuwait,Kuwait,Кувейт,Koweït,Kuwait,Kuwait,쿠웨이트,Kuwait,Kuveyt,Кувейт,Kuwait,Kuvait,Kuwait,Kuwait,Kuvajt,Kuwait,Kuwait,科威特,科威特,ประเทศคูเวต,クウェート,Kuweit,الكويت,Kuvajt,Kuwait,Kuwejt,Koeweit,Kuwait,כווית
